"campo_fuente","campo_kont","tratamiento","nota"
"codigo","product.code","transformar","Debe quedar único; hay duplicados."
"descripcion","product.name","directo","Usar como nombre."
"departamento","department.name","transformar","Coincidir o crear departamentos."
"existencia","movement.initialStock","transformar","Revisar negativas y convertir a ajuste inicial."
"precio  1","product.salePricing","transformar","Precio de venta fijo; USD→D y Bs.→B."
"precio  2/3/4","sin_mapeo","ignorar","Todos están en cero."
"IVA1","product.vatType","transformar","IVA1→general; EXENTO→exento."
"medidas","product.measureUnit","transformar","UNI→unidad; KG→kg; GR→g."
"producto","product.type","transformar","Producto→mercancia; Compuesto requiere decisión."
"moneda","product.salePricing.currency","transformar","EUR no es compatible."
"(ausente)","product.averageCost","faltante","No hay costo de compra/promedio."
"(ausente)","product.valuationMethod","faltante","Elegir promedio_ponderado o peps."
