"linea_csv","codigo","descripcion","departamento","existencia","precio_1","moneda","iva","unidad","tipo_origen","conflictos","recomendacion"
"8","0","PIZZA PARA CANTINA BANDEJA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-5","15.150,81","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"9","1","PAN DE BANQUETE 10 UNIDADES","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-124","1.893,85","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"10","1","PAN CAMPESINO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-42037","757,54","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"11","2","PAN DE MANTEQUILLA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-2428","757,54","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"12","3","BOLO DE REY PEQUEÑO 500 GR","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-32","4.545,24","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"13","3","PAN DE MANTEQUILLA PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","1","Bs.","EXENTO","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"14","4","BOLO DE REY GRANDE DE 1 KL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-18","5.681,55","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"15","4","PAN FRANCES","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-2396","98,48","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"16","5","PAN CANILLA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-4213","378,77","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"17","5","CANILLON","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-51","1.515,08","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"18","6","PAN PROTE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-315","1.931,73","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"19","6","DULCES SECOS LARGOS DECORADOS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-5","7.575,41","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"20","7","PAN SANDWICH PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-290","2.265,05","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"21","7","PAI REDONDO GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-6","7.196,64","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
