"op","pdf_date","pdf_document","pdf_control","supabase_date","supabase_document","supabase_control","match_mode","pdf_total","supabase_total","delta_total","pdf_exempt","supabase_exempt_base","delta_exempt","pdf_taxable_base","supabase_taxable_base","delta_base","pdf_vat","supabase_vat","delta_vat","pdf_retention","supabase_retention","delta_retention","status","notes"
"1","13/05/2026","7072684619","09-3347209","2026-05-13","7072684619","09-3347209","documento+control","80750.08","80750.08","0","0","0","0","69612.14","69612.14","0","11137.94","11137.94","0","8356.3","0","-8356.3","DIFERENCIA","retention -8.356,30"
"2","14/05/2026","1847022567","00-1974564","2026-05-14","184022567","00-1974564","control","412003.21","412003.21","0","412003.21","412003.21","0","0","0","0","0","0","0","0","0","0","DIFERENCIA","documento PDF 1847022567 vs Supabase 184022567"
"3","18/05/2026","7072686326","09-3348963","2026-05-18","7072686326","09-3348963","documento+control","92060.05","92059.72","-0.33","0","0","0","79362.12","79361.8","-0.32","12697.93","12697.89","-0.04","9525.32","0","-9525.32","DIFERENCIA","total -0,33; base -0,32; vat -0,04; retention -9.525,32"
"4","18/05/2026","7783079111","00-41049513","2026-05-18","7783079111","00-41049513","documento+control","28143.15","28143.15","0","0","0","0","24261.34","24261.34","0","3881.81","3881.81","0","2910.95","0","-2910.95","DIFERENCIA","retention -2.910,95"
"5","19/05/2026","1754452","00-2472495","2026-05-19","1754452","00-2472495","documento+control","31381.53","31381.53","0","0","0","0","27053.04","27053.04","0","4328.49","4328.49","0","3246.37","0","-3246.37","DIFERENCIA","retention -3.246,37"
"6","20/05/2026","3595372136","00-31717787","2026-05-20","3595372136","00-31717787","documento+control","34727.22","34728.26","1.04","3488","0","-3488","26931.26","26931.26","0","4307.96","4309","1.04","3229.67","0","-3229.67","DIFERENCIA","total +1,04; exempt -3.488,00; vat +1,04; retention -3.229,67"
"7","20/05/2026","7072687440","09-3350124","2026-05-20","7072687440","09-3350124","documento+control","132659.34","132659.35","0.01","0","0","0","114361.5","114361.5","0","18297.84","18297.84","0","13726.09","0","-13726.09","DIFERENCIA","retention -13.726,09"
"8","25/05/2026","7072688961","09-3351725","2026-05-25","7072688961","09-3351725","documento+control","74313.95","74313.95","0","0","0","0","64063.75","64063.75","0","10250.2","10250.2","0","7687.65","0","-7687.65","DIFERENCIA","retention -7.687,65"
"9","25/05/2026","7783084608","00-41055055","2026-05-25","7783084608","00-41055055","documento+control","18664.64","18664.48","-0.16","0","0","0","16090.21","16090.07","-0.14","2574.43","2574.41","-0.02","1930.82","0","-1930.82","DIFERENCIA","total -0,16; base -0,14; vat -0,02; retention -1.930,82"
"10","26/05/2026","C93417055","00-6681731","2026-05-26","93417055","00-6681731","control","34850.72","34847.25","-3.47","0","0","0","30043.73","30040.73","-3","4806.99","4806.52","-0.47","3605.24","0","-3605.24","DIFERENCIA","documento PDF C93417055 vs Supabase 93417055; total -3,47; base -3,00; vat -0,47; retention -3.605,24"
"11","27/05/2026","7783086375","00-41056826","2026-05-27","7793086375","00-41056826","control","34164.43","34164.22","-0.21","11994.36","11994.29","-0.07","19112.13","19112.02","-0.11","3057.94","3057.92","-0.02","2293.46","0","-2293.46","DIFERENCIA","documento PDF 7783086375 vs Supabase 7793086375; total -0,21; exempt -0,07; base -0,11; vat -0,02; retention -2.293,46"
"12","28/05/2026","3587902965","00-29620151","2026-03-17","3587902965","00-29620151","documento+control","-3645.94","-3645.95","-0.01","0","0","0","-3143.06","3143.06","6286.12","-502.88","-502.89","-0.01","-377.16","0","377.16","DIFERENCIA","fecha PDF 28/05/2026 vs Supabase 2026-03-17; base +6.286,12; retention +377,16"
"13","28/05/2026","6070284312","08-1211113","2026-03-31","6070284312","08-1211113","documento+control","-27924.22","-27924.23","-0.01","0","0","0","-24072.61","24072.61","48145.22","-3851.61","-3851.62","-0.01","-2888.71","0","2888.71","DIFERENCIA","fecha PDF 28/05/2026 vs Supabase 2026-03-31; base +48.145,22; retention +2.888,71"
"14","28/05/2026","6070284313","08-1211114","2026-03-31","6070284313","00-1211114","documento","-22839.59","-22839.6","-0.01","0","0","0","-19689.31","19689.31","39378.62","-3150.28","-3150.29","-0.01","-2362.71","0","2362.71","DIFERENCIA","control PDF 08-1211114 vs Supabase 00-1211114; fecha PDF 28/05/2026 vs Supabase 2026-03-31; base +39.378,62; retention +2.362,71"
"15","29/05/2026","8098027453","00-3658106","2026-05-29","8098027453","00-3658106","documento+control","8526.68","8526.66","-0.02","0","0","0","7350.59","7350.57","-0.02","1176.09","1176.09","0","882.07","0","-882.07","DIFERENCIA","total -0,02; base -0,02; retention -882,07"
"16","01/06/2026","12517","00-954850","2026-06-01","12517","00-954850","documento+control","24255.32","24255.32","0","0","0","0","20909.76","20909.76","0","3345.56","3345.56","0","2509.17","0","-2509.17","DIFERENCIA","retention -2.509,17"
"17","01/06/2026","7783089092","00-41059544","2026-06-01","7783089092","00-41059544","documento+control","22586.85","22587.03","0.18","0","0","0","19471.43","19471.58","0.15","3115.42","3115.45","0.03","2336.57","0","-2336.57","DIFERENCIA","total +0,18; base +0,15; vat +0,03; retention -2.336,57"
"18","02/06/2026","3595373764","00-3171944","2026-06-02","3595373764","00-31719444","documento","22776.05","19287.91","-3488.14","3488","0","-3488","16627.63","16627.51","-0.12","2660.42","2660.4","-0.02","1997.55","0","-1997.55","DIFERENCIA","control PDF 00-3171944 vs Supabase 00-31719444; total -3.488,14; exempt -3.488,00; base -0,12; vat -0,02; retention -1.997,55"
"19","02/06/2026","7072691793","09-3354665","2026-06-02","7072691793","09-3354665","documento+control","105255.79","105229.12","-26.67","0","0","0","90737.75","90714.76","-22.99","14518.04","14514.36","-3.68","10888.53","0","-10888.53","DIFERENCIA","total -26,67; base -22,99; vat -3,68; retention -10.888,53"
"20","02/06/2026","7072691794","09-3354666","2026-06-02","7072691794","09-3354666","documento+control","3896.44","3896.42","-0.02","0","0","0","3359","3358.98","-0.02","537.44","537.44","0","403.08","0","-403.08","DIFERENCIA","total -0,02; base -0,02; retention -403,08"
"21","03/06/2026","3595373892","00-31719576","2026-06-03","3595373892","00-31719576","documento+control","4348.26","3748.47","-599.79","0","3748.47","3748.47","3748.5","0","-3748.5","599.76","0","-599.76","449.82","0","-449.82","DIFERENCIA","total -599,79; exempt +3.748,47; base -3.748,50; vat -599,76; retention -449,82"
"22","03/06/2026","7072692217","09-3355098","2026-06-03","7072692217","09-3355098","documento+control","63539","63532.12","-6.88","0","0","0","54775","54769.07","-5.93","8764","8763.05","-0.95","6573","0","-6573","DIFERENCIA","total -6,88; base -5,93; vat -0,95; retention -6.573,00"
"23","05/06/2026","8098027817","00-3658453","2026-06-05","8098027817","00-3658453","documento+control","32670.77","32806.01","135.24","0","7322.77","7322.77","28164.46","21968.31","-6196.15","4506.31","3514.93","-991.38","3379.73","0","-3379.73","DIFERENCIA","total +135,24; exempt +7.322,77; base -6.196,15; vat -991,38; retention -3.379,73"
"24","08/06/2026","3595374485","0031720174","2026-06-08","3595374485","00-31720174","documento","33088.11","29371.07","-3717.04","3488","0","-3488","25517.34","25319.89","-197.45","4082.77","4051.18","-31.59","3062.08","0","-3062.08","DIFERENCIA","control PDF 0031720174 vs Supabase 00-31720174; total -3.717,04; exempt -3.488,00; base -197,45; vat -31,59; retention -3.062,08"
"25","08/06/2026","7072693733","09-3356691","2026-06-08","7072693733","09-3356691","documento+control","91408.05","90687.66","-720.39","0","0","0","78800.05","78179.02","-621.03","12608","12508.64","-99.36","9456","0","-9456","DIFERENCIA","total -720,39; base -621,03; vat -99,36; retention -9.456,00"
"26","08/06/2026","C93419038","00-6683909","2026-06-08","93419038","00-6683909","control","15551.31","15553.16","1.85","0","0","0","13406.3","13407.9","1.6","2145.01","2145.26","0.25","1608.76","0","-1608.76","DIFERENCIA","documento PDF C93419038 vs Supabase 93419038; total +1,85; base +1,60; vat +0,25; retention -1.608,76"
"27","09/06/2026","1757504","1757504","","","","documento","21612.26","","","0","","","18631.26","","","2981","","","2235.75","","","FALTANTE","No se encontró factura en Supabase"
"28","11/06/2026","147359","00-162216","2026-06-11","147359","00-162216","documento+control","13224.89","13211.58","-13.31","0","0","0","11400.77","11389.29","-11.48","1824.12","1822.29","-1.83","1368.09","0","-1368.09","DIFERENCIA","total -13,31; base -11,48; vat -1,83; retention -1.368,09"
"29","15/06/2026","3595375439","00-31721151","2026-06-20","3595375439","00-31721151","documento+control","57612.9","53103.62","-4509.28","6256","0","-6256","44272.78","45778.98","1506.2","7084.12","7324.64","240.52","5313.09","0","-5313.09","DIFERENCIA","fecha PDF 15/06/2026 vs Supabase 2026-06-20; total -4.509,28; exempt -6.256,00; base +1.506,20; vat +240,52; retention -5.313,09"
"30","15/06/2026","5374","00-00005674","2026-06-15","00005374","00-00005674","control","22567.66","22567.66","0","0","0","0","19454.88","19454.88","0","3112.78","3112.78","0","2334.59","0","-2334.59","DIFERENCIA","documento PDF 5374 vs Supabase 00005374; retention -2.334,59"
"31","15/06/2026","7072695972","09-3359038","2026-06-15","7072695972","09-3359038","documento+control","119904.35","121615.49","1711.14","0","0","0","103365.82","104840.94","1475.12","16538.53","16774.55","236.02","12403.88","0","-12403.88","DIFERENCIA","total +1.711,14; base +1.475,12; vat +236,02; retention -12.403,88"
"32","15/06/2026","7072695973","09-3359039","2026-06-15","7072695973","09-3359039","documento+control","101547.67","101480.25","-67.42","0","0","0","87541.1","87482.97","-58.13","14006.57","13997.28","-9.29","10504.93","0","-10504.93","DIFERENCIA","total -67,42; base -58,13; vat -9,29; retention -10.504,93"
"33","15/06/2026","7783097624","00-41068299","2026-06-15","7783097624","00-41068299","documento+control","33461.69","32623.81","-837.88","27349.62","27349.81","0.19","5269.03","4546.55","-722.48","843.04","727.45","-115.59","632.28","0","-632.28","DIFERENCIA","total -837,88; exempt +0,19; base -722,48; vat -115,59; retention -632,28"
"34","17/06/2026","7072696873","09-3359978","2026-06-17","7072696873","09-3359978","documento+control","57159.82","57146.46","-13.36","0","0","0","49276.32","49264.19","-12.13","7883.5","7882.27","-1.23","5912.63","0","-5912.63","DIFERENCIA","total -13,36; base -12,13; vat -1,23; retention -5.912,63"
"35","22/06/2026","12864","00-965551","2026-06-22","12864","00-965551","documento+control","13486.39","13486.39","0","0","0","0","11626.2","11626.2","0","1860.19","1860.19","0","1395.14","0","-1395.14","DIFERENCIA","retention -1.395,14"
"36","22/06/2026","245034","00-261734","2026-06-22","245034","00-261734","documento+control","20611.95","20611.94","-0.01","20611.95","20611.94","-0.01","0","0","0","0","0","0","0","0","0","OK",""
"37","22/06/2026","3595376396","00-31722114","2026-06-22","3595376396","00-31722114","documento+control","27426.59","21170.48","-6256.11","6256","0","-6256","18250.51","18250.41","-0.1","2920.08","2920.07","-0.01","2190.06","0","-2190.06","DIFERENCIA","total -6.256,11; exempt -6.256,00; base -0,10; retention -2.190,06"
"38","22/06/2026","7783101801","00-41072505","2026-06-22","7783101801","00-41072505","documento+control","12453.7","12453.64","-0.06","0","0","0","10735.95","10735.9","-0.05","1717.75","1717.74","-0.01","1288.31","0","-1288.31","DIFERENCIA","total -0,06; base -0,05; retention -1.288,31"
"39","25/06/2026","017701","00-017701","2026-06-25","017701","00-017701","documento+control","27969","27969","0","27969","27969","0","0","0","0","0","0","0","0","0","0","OK",""
"40","25/06/2026","3595376784","00-31722507","2026-06-25","3595376784","00-31722507","documento+control","10922.76","10922.77","0.01","0","0","0","9416.18","9416.18","0","1506.58","1506.59","0.01","1129.94","0","-1129.94","DIFERENCIA","retention -1.129,94"
"41","25/06/2026","7072699754","09-3362958","2026-06-25","7172699754","09-3362958","control","131267.86","132363.51","1095.65","0","3741.61","3741.61","113161.95","110880.95","-2281","18105.91","17740.95","-364.96","13579.43","0","-13579.43","DIFERENCIA","documento PDF 7072699754 vs Supabase 7172699754; total +1.095,65; exempt +3.741,61; base -2.281,00; vat -364,96; retention -13.579,43"
"42","26/06/2026","7783104160","00-41074907","2026-06-26","7783104160","00-41074907","documento+control","39448.34","39448.11","-0.23","39448.34","39448.11","-0.23","0","0","0","0","0","0","0","0","0","DIFERENCIA","total -0,23; exempt -0,23"
